r,date,n1,n2,n3,n4,n5,n6,n7,n8,sum,median,consecutive,odd,ac,wuxing_ke,prime,partition,luckman
23012,20230206,1,2,9,11,13,27,29,16,92,11.0,1,6,17,1,4,8,1
23013,20230208,1,8,10,11,12,13,17,29,72,11.0,1,4,12,3,3,36,1
23014,20230210,2,3,4,8,17,25,26,9,85,8.0,2,3,16,0,3,8,1
23015,20230213,17,18,21,23,24,25,28,10,156,23.0,2,4,10,0,2,31,1
23016,20230215,11,17,18,20,23,25,29,15,143,20.0,1,5,13,0,4,6,2
23017,20230217,2,5,7,14,16,21,23,17,88,14.0,0,4,12,0,4,4,4
23018,20230220,3,12,18,20,25,26,29,8,133,20.0,1,3,17,1,2,6,1
23019,20230222,2,3,4,11,18,21,28,29,87,11.0,1,3,16,1,3,7,1
23020,20230224,3,5,6,15,22,24,28,13,103,15.0,1,3,18,0,2,2,1
23021,20230227,2,7,15,17,23,24,29,26,117,17.0,1,5,17,1,5,1,2
23022,20230301,9,17,19,22,24,25,28,2,144,22.0,1,4,15,1,2,6,1
23023,20230303,2,3,9,19,23,25,27,16,108,19.0,1,6,17,0,4,5,2
23024,20230306,6,7,10,11,15,21,23,28,93,11.0,2,5,16,1,3,7,2
23025,20230308,12,15,17,21,27,28,30,24,150,21.0,1,4,15,1,1,32,2
23026,20230310,2,5,15,17,20,22,28,26,109,17.0,0,3,16,0,3,9,1
23027,20230313,3,12,14,24,25,26,28,8,132,24.0,1,2,15,0,1,12,1
23028,20230315,8,12,13,15,17,20,21,4,106,15.0,2,4,11,0,2,17,1
23029,20230317,2,10,14,16,25,26,29,12,122,16.0,1,2,18,0,2,1,1
23030,20230320,1,6,10,11,12,13,29,20,82,11.0,1,4,17,2,3,7,1
23031,20230322,9,15,21,22,28,29,30,14,154,22.0,2,4,13,1,1,6,1
23032,20230324,8,10,14,24,26,28,30,21,140,24.0,0,0,10,2,0,11,1
23033,20230327,1,4,5,11,15,17,27,14,80,11.0,1,6,15,1,3,7,2
23034,20230329,6,8,10,13,18,20,27,2,102,13.0,0,2,13,2,1,4,1
23035,20230331,2,11,18,19,21,26,30,10,127,19.0,1,3,17,0,3,3,1
23036,20230403,6,14,15,18,21,23,25,28,122,18.0,1,4,15,0,1,10,4
23037,20230405,2,3,13,14,18,25,30,28,105,14.0,2,3,14,2,3,3,1
23038,20230407,1,4,5,6,9,10,16,14,51,6.0,2,3,13,0,1,16,1
23039,20230410,3,9,11,15,18,23,25,17,104,15.0,0,6,15,1,3,2,2
23040,20230412,1,4,5,7,10,13,26,8,66,7.0,1,4,15,0,3,13,2
23041,20230414,1,4,7,8,10,21,23,3,74,8.0,1,4,16,1,2,13,1
23042,20230417,3,11,15,19,20,22,25,1,115,19.0,1,5,17,0,3,9,1
23043,20230419,1,2,11,20,21,22,27,24,104,20.0,2,4,15,0,2,4,1
23044,20230421,1,4,7,8,11,13,20,14,64,8.0,1,4,13,0,3,22,1
23045,20230424,1,3,13,20,24,25,28,18,114,20.0,1,4,19,0,2,1,1
23046,20230426,5,10,14,20,23,25,26,13,123,20.0,1,3,16,0,2,1,1
23047,20230428,4,5,9,15,22,23,27,20,105,15.0,2,5,16,1,2,2,2
23048,20230501,9,11,15,16,17,18,21,12,107,16.0,1,5,11,0,2,24,1
23049,20230503,4,5,7,9,19,24,29,20,97,9.0,1,5,15,1,4,8,1
23050,20230505,4,9,12,17,18,23,27,2,110,17.0,1,4,15,3,2,3,2
23051,20230508,1,4,5,15,18,20,21,29,84,15.0,2,4,15,0,1,33,2
23052,20230510,11,14,17,20,22,25,26,18,135,20.0,1,3,12,1,2,10,1
23053,20230512,3,8,9,13,23,25,30,18,111,13.0,1,5,16,2,3,5,1
23054,20230515,12,17,18,19,20,26,29,3,141,19.0,1,3,13,1,3,27,1
23055,20230517,3,12,16,23,26,28,29,9,137,23.0,1,3,19,0,3,12,1
23056,20230519,3,4,9,11,18,27,29,20,101,11.0,1,5,17,1,3,8,1
23057,20230522,3,4,12,14,18,25,28,24,104,14.0,1,2,18,1,1,3,1
23058,20230524,1,3,7,15,17,22,26,28,91,15.0,0,5,17,2,3,4,2
23059,20230526,2,12,18,19,22,23,24,26,120,19.0,2,2,15,1,3,10,1
23060,20230529,1,11,13,15,16,19,21,22,96,15.0,1,6,13,0,3,24,1
23061,20230531,4,5,17,18,19,20,25,22,108,18.0,2,4,14,2,3,9,1
23062,20230602,1,4,11,18,19,22,26,3,101,18.0,1,3,14,3,2,4,1
23063,20230605,2,6,9,14,19,21,28,13,99,14.0,0,3,16,1,2,4,1
23064,20230607,4,17,20,25,28,29,30,13,153,25.0,1,3,16,2,2,12,1
23065,20230609,1,4,7,9,11,17,28,18,77,9.0,0,5,16,0,3,13,2
23066,20230612,4,6,8,11,19,22,30,27,100,11.0,0,2,16,1,2,7,1
23067,20230614,3,7,8,12,14,21,28,20,93,12.0,1,3,15,0,2,4,1
23068,20230616,3,5,9,11,12,25,27,14,92,11.0,1,6,16,2,3,8,1
23069,20230619,6,7,13,15,18,22,25,28,106,15.0,1,4,16,1,2,9,4
23070,20230621,1,4,5,11,16,17,28,3,82,11.0,2,4,16,2,3,7,1
23071,20230623,4,5,8,21,24,29,30,1,121,21.0,2,3,17,0,2,5,1
23072,20230626,9,10,16,21,27,28,29,24,140,21.0,2,4,13,1,1,1,1
23073,20230628,5,6,7,8,12,15,28,9,81,8.0,1,3,16,1,2,7,4
23074,20230630,4,6,7,8,14,15,23,16,77,8.0,2,3,14,0,2,7,4
23075,20230703,3,5,9,11,15,21,25,6,89,11.0,0,7,11,3,3,7,2
23076,20230705,4,5,19,20,26,27,29,17,130,20.0,3,4,16,1,3,1,1
23077,20230707,11,13,15,20,23,27,30,10,139,20.0,0,5,14,2,3,6,2
23078,20230710,1,2,9,10,11,17,21,28,71,10.0,2,5,14,0,3,22,1
23079,20230712,5,7,8,16,18,21,25,22,100,16.0,1,4,16,2,2,4,4
23080,20230714,10,13,14,18,21,24,30,9,130,18.0,1,2,15,1,1,10,1
23081,20230717,5,9,11,13,15,19,29,8,101,13.0,0,7,10,1,5,4,2
23082,20230719,8,11,15,20,23,27,29,17,133,20.0,0,5,15,1,3,1,2
23083,20230721,1,8,11,16,21,22,30,25,109,16.0,1,3,17,2,1,4,1
23084,20230724,3,4,6,8,10,11,16,5,58,8.0,2,2,11,2,2,16,1
23085,20230726,7,9,13,14,19,21,22,20,105,14.0,2,5,14,0,3,24,1
23086,20230728,2,10,11,12,15,20,25,14,95,12.0,1,3,13,2,2,4,2
23087,20230731,2,5,10,11,18,24,28,17,98,11.0,1,2,18,0,3,8,1
23088,20230802,7,8,12,13,16,23,28,30,107,13.0,2,3,15,1,3,3,4
23089,20230804,5,7,9,12,14,17,24,26,88,12.0,0,4,12,1,3,4,1
23090,20230807,1,2,12,17,19,21,28,11,100,17.0,1,4,16,1,3,9,1
23091,20230809,1,2,7,10,13,14,19,27,66,10.0,2,4,13,1,4,36,1
23092,20230811,1,3,21,27,28,29,30,24,139,27.0,1,5,15,1,2,11,1
23093,20230814,5,7,11,12,13,20,26,10,94,12.0,1,4,13,0,4,4,2
23094,20230816,4,7,11,13,16,18,30,10,99,13.0,0,3,14,1,3,4,1
23095,20230818,1,2,4,10,11,13,14,26,55,10.0,3,3,12,0,3,22,1
23096,20230821,6,8,12,15,18,20,21,13,100,15.0,1,2,14,0,0,24,4
23097,20230823,3,6,7,9,15,16,29,24,85,9.0,2,5,16,1,3,7,1
23098,20230825,1,4,16,17,19,23,26,13,106,17.0,1,4,16,0,3,3,1
23099,20230828,2,6,13,18,23,28,29,27,119,18.0,1,3,16,2,4,1,4
23100,20230830,1,6,13,21,22,25,29,8,117,21.0,1,5,16,1,2,3,1
23101,20230901,3,6,9,13,14,23,29,1,97,13.0,1,5,17,2,4,2,1
23102,20230904,1,12,13,14,26,27,30,22,123,14.0,2,3,15,2,1,6,1
23103,20230906,1,17,18,20,23,26,29,13,134,20.0,1,4,15,0,3,6,2
23104,20230908,4,8,15,17,20,25,26,12,115,17.0,1,3,18,1,1,3,1
23105,20230911,1,4,13,19,25,26,28,16,116,19.0,1,4,15,1,2,1,1
23106,20230913,1,5,10,11,16,22,25,23,90,11.0,1,4,15,1,2,7,1
23107,20230915,2,5,11,13,21,23,28,9,103,13.0,0,5,18,2,5,2,2
23108,20230918,1,6,7,8,9,12,20,29,63,8.0,1,3,13,1,1,22,1
23109,20230920,8,11,13,21,24,26,28,30,131,21.0,0,3,14,1,2,1,1
23110,20230922,6,7,8,10,11,17,22,3,81,10.0,2,3,14,2,3,22,1
23111,20230925,4,5,15,19,20,29,30,12,122,19.0,3,4,12,0,3,3,2
23112,20230927,3,6,8,13,14,17,22,24,83,13.0,1,3,14,2,3,33,1
23113,20230929,1,2,6,19,23,25,30,16,106,19.0,1,4,17,1,3,5,1
23114,20231006,2,9,16,18,20,23,28,27,116,18.0,0,2,16,3,2,3,1
23115,20231009,4,6,7,12,14,17,22,25,82,12.0,1,2,13,2,2,33,1
23116,20231011,5,11,18,19,21,29,30,24,133,19.0,2,5,17,1,4,3,1
23117,20231013,5,10,23,24,25,27,29,1,143,24.0,1,5,15,1,3,26,1
23118,20231016,1,7,9,10,14,17,22,11,80,10.0,1,4,15,1,2,36,1
23119,20231018,11,13,17,20,23,24,29,26,137,20.0,1,5,14,1,5,6,1
23120,20231020,1,2,6,7,10,21,28,3,75,7.0,2,3,18,0,2,13,1
23121,20231023,11,12,15,17,19,28,30,4,132,17.0,1,4,16,0,3,10,2
23122,20231025,1,10,12,13,16,17,23,22,92,13.0,2,4,15,0,3,9,1
23123,20231027,1,10,13,14,18,22,25,23,103,14.0,1,3,14,1,1,9,1
23124,20231030,1,3,9,12,22,28,30,10,105,12.0,0,3,15,0,1,2,1
23125,20231101,13,14,15,17,18,22,30,20,129,17.0,2,3,13,0,2,18,1
23126,20231103,3,6,13,19,20,22,23,9,106,19.0,2,4,14,2,4,9,1
23127,20231106,5,11,12,15,17,22,27,25,109,15.0,1,5,14,2,3,9,1
23128,20231108,6,8,14,16,19,21,23,10,107,16.0,0,3,13,0,2,9,1
23129,20231110,4,7,12,18,25,29,30,3,125,18.0,1,3,18,1,2,1,2
23130,20231113,1,4,10,12,15,25,28,5,95,12.0,0,3,16,0,0,2,2
23131,20231115,2,6,7,9,18,26,30,19,98,9.0,1,2,18,0,2,8,1
23132,20231117,6,14,16,20,22,25,29,19,132,20.0,0,2,16,0,1,10,1
23133,20231120,6,8,12,16,22,24,25,5,113,16.0,1,1,15,0,0,3,1
23134,20231122,4,11,17,18,19,24,29,16,122,18.0,1,4,15,2,4,3,1
23135,20231124,1,5,8,11,19,23,26,29,93,11.0,0,5,14,0,4,8,1
23136,20231127,10,11,13,17,25,26,27,4,129,17.0,2,5,15,1,3,1,1
23137,20231129,6,11,13,18,26,27,30,1,131,18.0,1,3,18,1,2,1,1
23138,20231201,4,7,14,16,19,20,25,5,105,16.0,1,3,16,1,2,9,1
23139,20231204,2,8,10,11,16,19,28,22,94,11.0,1,2,14,2,3,7,1
23140,20231206,4,6,8,13,22,24,29,25,106,13.0,0,2,13,0,2,2,1
23141,20231208,8,9,10,19,20,21,25,1,112,19.0,2,4,13,1,1,4,1
23142,20231211,1,17,20,22,25,26,27,21,138,22.0,1,4,16,0,1,6,1
23143,20231213,2,3,6,8,9,18,30,16,76,8.0,2,2,17,1,2,13,1
23144,20231215,1,8,14,17,21,22,24,5,107,17.0,1,3,16,1,1,9,1
23145,20231218,2,3,4,9,28,29,30,22,105,9.0,2,3,13,1,3,34,1
23146,20231220,4,5,9,13,21,24,27,16,103,13.0,1,5,18,1,2,2,1
23147,20231222,4,8,9,15,18,20,25,29,99,15.0,1,3,15,1,0,4,1
23148,20231225,2,13,17,19,20,21,22,27,114,19.0,1,4,15,1,4,17,1
23149,20231227,3,7,13,17,18,21,28,22,107,17.0,1,5,14,2,4,9,2
23150,20231229,2,5,16,17,20,25,26,4,111,17.0,2,3,17,1,3,3,1
24001,20240101,6,7,10,13,17,23,27,26,103,13.0,1,5,13,1,4,2,2
24002,20240103,6,11,17,19,21,23,26,28,123,19.0,0,5,15,0,4,3,1
24003,20240105,2,3,4,7,22,27,30,15,95,7.0,1,3,16,1,3,8,1
24004,20240108,1,5,6,7,8,21,23,16,71,7.0,1,5,15,0,3,13,1
24005,20240110,2,5,10,13,14,15,19,29,78,13.0,1,4,14,0,4,33,4
24006,20240112,1,3,6,8,15,23,25,7,81,8.0,0,5,15,1,2,8,1
24007,20240115,6,8,12,17,22,28,30,11,123,17.0,0,1,15,2,1,3,1
24008,20240117,6,8,12,15,24,27,28,26,120,15.0,1,2,16,0,0,1,1
24009,20240119,4,8,18,21,25,28,29,2,133,21.0,1,3,14,2,1,1,1
24010,20240122,2,3,8,16,24,25,26,13,104,16.0,2,2,16,1,2,5,1
24011,20240124,1,11,14,18,19,21,27,10,111,18.0,1,5,16,3,2,9,1
24012,20240126,8,17,20,22,23,26,29,1,145,22.0,1,3,13,0,3,6,1
24013,20240129,1,9,11,22,24,25,28,18,120,22.0,1,4,18,1,1,5,1
24014,20240131,10,14,15,17,18,23,25,20,122,17.0,2,4,13,1,2,10,2
24015,20240202,8,16,18,20,21,22,30,10,135,20.0,1,1,13,1,0,14,1
24016,20240205,4,12,16,18,19,26,30,20,125,18.0,1,1,15,1,1,10,1
24017,20240207,6,9,11,12,13,17,24,26,92,12.0,1,4,13,2,3,4,1
24018,20240219,4,6,19,21,28,29,30,2,137,21.0,1,3,15,0,2,1,1
24019,20240221,2,4,6,15,22,29,30,19,108,15.0,1,2,19,0,2,2,4
24020,20240223,4,15,18,19,20,25,27,22,128,19.0,1,4,17,1,1,10,2
24021,20240226,4,5,11,13,16,29,30,12,108,13.0,2,4,19,1,4,2,1
24022,20240228,3,7,10,15,16,27,28,12,106,15.0,2,4,17,1,2,2,2
24023,20240301,1,10,12,16,17,19,27,24,102,16.0,1,4,16,0,2,9,1
24024,20240304,1,8,14,16,20,21,23,11,103,16.0,1,3,15,1,1,9,1
24025,20240306,3,5,11,12,22,27,29,24,109,12.0,1,5,17,1,4,2,1
24026,20240308,3,5,7,14,17,19,30,16,95,14.0,0,5,15,1,5,4,1
24027,20240311,3,15,18,21,23,29,30,28,139,21.0,1,5,16,1,3,6,2
24028,20240313,1,3,15,17,21,24,30,4,111,17.0,0,5,17,0,2,3,1
24029,20240315,1,5,8,13,19,24,30,4,100,13.0,0,4,17,2,3,2,1
24030,20240318,4,7,10,14,20,23,27,12,105,14.0,0,3,12,0,2,2,4
24031,20240320,1,6,8,11,12,17,27,16,82,11.0,1,4,15,2,2,7,1
24032,20240322,5,8,9,15,17,20,24,29,98,15.0,1,4,15,0,2,4,1
24033,20240325,1,8,12,19,23,26,27,15,116,19.0,1,4,13,2,2,1,1
24034,20240327,3,5,18,22,23,25,29,12,125,22.0,1,5,17,0,4,1,1
24035,20240329,4,5,8,19,23,28,29,25,116,19.0,2,4,17,1,4,5,1
24036,20240401,7,8,18,19,22,28,29,27,131,19.0,3,3,14,2,3,3,1
24037,20240403,1,9,11,14,25,28,29,13,117,14.0,1,5,19,1,2,5,1
24038,20240405,1,7,10,16,18,23,26,29,101,16.0,0,3,16,2,2,2,2
24039,20240408,2,10,17,18,21,24,25,19,117,18.0,2,3,13,0,2,3,1
24040,20240410,5,8,9,13,14,19,21,10,89,13.0,2,5,15,0,3,33,1
24041,20240412,2,6,9,16,21,23,25,27,102,16.0,0,4,15,1,2,2,1
24042,20240415,9,12,16,20,21,23,26,27,127,20.0,1,3,14,0,1,10,1
24043,20240417,6,10,12,13,18,24,27,20,110,13.0,1,2,16,1,1,3,1
24044,20240419,2,3,12,15,18,22,25,30,97,15.0,1,3,15,0,2,9,1
24045,20240422,3,10,12,17,18,23,25,15,108,17.0,1,4,13,2,3,3,2
24046,20240424,6,13,14,18,19,22,29,16,121,18.0,2,3,15,2,3,14,1
24047,20240426,5,8,11,13,15,22,27,25,101,13.0,0,5,16,0,3,4,1
24048,20240429,3,5,9,14,21,23,27,24,102,14.0,0,6,15,2,3,2,1
24049,20240501,1,21,23,25,26,28,30,16,154,25.0,1,4,13,0,1,15,2
24050,20240503,2,9,14,20,26,29,30,15,130,20.0,1,2,19,1,2,1,1
